,silica_concentrate
292,5.029999999999981
1417,1.3100000000000018
1548,1.0699999999999956
300,1.0399999999999994
1704,1.720000000000004
610,1.3899999999999937
1120,1.3700000000000032
1568,1.6999999999999944
1751,3.5863157894750044
1190,1.1899999999999982
1623,1.1399999999999952
371,1.889999999999992
849,2.879999999999997
555,1.4499999999999953
1000,1.910000000000004
1107,2.4800000000000053
1361,1.169999999999996
175,1.7900000000000025
730,1.4799999999999964
654,1.009999999999999
1765,1.520000000000003
1595,1.8999999999999968
334,1.7299999999999995
774,1.3799999999999968
495,3.429999999999996
910,1.970000000000007
609,1.1299999999999972
198,4.190000000000016
15,3.8298472828238888
265,4.120000000000004
777,1.460000000000002
705,1.77
1384,1.340000000000003
1043,2.3899999999999904
538,3.3099999999999943
926,1.92
1269,1.59
1589,1.6999999999999944
433,5.202794043412223
199,4.248407356002223
1646,1.3300000000000052
1315,1.520000000000003
1599,1.529999999999999
1036,1.460000000000002
1662,2.4100000000000086
576,1.289999999999998
1424,1.219999999999999
712,1.3899999999999937
1378,1.7599999999999956
614,1.0500000000000025
1217,4.549224376733334
948,1.8700000000000032
310,2.620000000000004
56,2.689999999999998
1465,1.8799999999999968
997,2.7099999999999915
611,1.0800000000000034
43,1.0600000000000018
100,2.790000000000009
274,3.170000000000001
1270,1.3100000000000018
353,1.6500000000000004
101,2.5199999999999947
813,1.5
107,1.689999999999998
1177,1.0500000000000025
1797,4.943909426987222
1359,1.3700000000000032
743,1.720000000000004
754,1.4300000000000048
518,2.879999999999997
744,1.4199999999999944
426,3.812497225306673
1084,1.4399999999999984
1181,1.030000000000001
128,4.820000000000017
514,2.6600000000000104
1531,1.289999999999998
736,1.3600000000000063
1617,1.2700000000000038
1312,1.1999999999999966
529,0.9900000000000008
938,1.529999999999999
862,1.169999999999996
1450,1.3600000000000063
1602,1.4900000000000038
990,1.0500000000000025
1192,2.240000000000005
901,2.430000000000005
1442,1.3700000000000032
1501,1.0399999999999994
722,1.3300000000000052
1204,1.4499999999999953
1316,1.280000000000001
405,2.060000000000002
1406,1.340000000000003
1506,1.0
893,2.439999999999998
1068,1.8700000000000032
543,1.6800000000000053
483,1.4300000000000048
226,1.4900000000000038
231,2.3199999999999945
855,1.0600000000000018
1550,1.1299999999999972
598,1.2299999999999964
163,2.6399999999999904
694,1.3199999999999952
1405,1.5800000000000034
266,4.399999999999986
148,2.439999999999998
1574,1.6299999999999968
1074,1.4799999999999964
602,1.2100000000000015
1352,3.690000000000011
1603,1.5800000000000034
306,3.769999999999991
192,2.8500000000000094
1475,2.4200000000000035
309,3.269999999999992
1726,2.6299999999999963
63,2.959999999999993
978,3.0099999999999936
1807,3.480000000000009
1160,2.58999999999999
588,1.460000000000002
506,0.8499999999999972
767,1.59
1635,2.399999999999993
1763,4.667156726768333
900,2.2799999999999905
1222,3.120000000000004
1504,1.0699999999999956
532,2.974999999999999
1701,1.4399999999999984
1047,1.720000000000004
802,1.75
218,3.629999999999996
881,1.4699999999999998
286,2.3199999999999945
583,1.300000000000004
1567,2.2900000000000063
1747,1.6800000000000053
952,1.7099999999999989
361,5.029999999999981
650,2.180000000000005
